iter	Passed	Remaining
0	149	149037
1	155	77768
2	161	53572
3	166	41444
4	171	34122
5	176	29197
6	180	25638
7	185	22954
8	189	20890
9	195	19307
10	200	18004
11	205	16899
12	210	15986
13	215	15197
14	222	14610
15	229	14107
16	235	13607
17	240	13142
18	246	12716
19	252	12379
20	259	12095
21	265	11820
22	272	11582
23	277	11280
24	282	11002
25	287	10779
26	292	10532
27	296	10300
28	302	10113
29	305	9883
30	308	9657
31	312	9453
32	317	9300
33	321	9120
34	324	8947
35	328	8793
36	333	8670
37	337	8531
38	340	8385
39	343	8252
40	349	8184
41	354	8092
42	358	7985
43	365	7932
44	371	7874
45	376	7806
46	382	7752
47	387	7692
48	393	7628
49	399	7591
50	404	7526
51	410	7474
52	416	7445
53	421	7391
54	428	7363
55	434	7317
56	440	7282
57	447	7268
58	452	7219
59	457	7167
60	464	7142
61	469	7101
62	474	7063
63	481	7046
64	486	7000
65	493	6987
66	499	6960
67	505	6925
68	510	6886
69	515	6854
70	521	6821
71	528	6809
72	532	6756
73	535	6706
74	540	6664
75	545	6632
76	549	6587
77	553	6541
78	558	6513
79	564	6487
80	569	6459
81	573	6423
82	577	6383
83	582	6352
84	586	6313
85	590	6279
86	594	6238
87	598	6201
88	602	6168
89	606	6133
90	610	6099
91	614	6067
92	618	6032
93	622	5998
94	625	5960
95	629	5925
96	632	5890
97	636	5853
98	639	5818
99	642	5785
100	645	5743
101	648	5711
102	652	5679
103	655	5647
104	658	5615
105	662	5585
106	665	5555
107	668	5525
108	672	5496
109	675	5467
110	679	5438
111	682	5412
112	685	5384
113	689	5357
114	692	5331
115	696	5304
116	700	5284
117	704	5267
118	709	5249
119	713	5230
120	717	5211
121	721	5191
122	726	5176
123	730	5160
124	732	5128
125	736	5111
126	741	5095
127	745	5081
128	750	5064
129	754	5048
130	759	5035
131	763	5019
132	767	5003
133	772	4990
134	776	4975
135	780	4957
136	784	4942
137	789	4929
138	794	4921
139	799	4909
140	803	4897
141	808	4885
142	813	4877
143	818	4868
144	823	4855
145	829	4854
146	835	4851
147	841	4843
148	846	4837
149	852	4832
150	860	4840
151	866	4834
152	871	4825
153	877	4817
154	881	4808
155	887	4802
156	893	4797
157	898	4790
158	904	4783
159	910	4779
160	916	4773
161	921	4765
162	926	4758
163	931	4750
164	937	4743
165	942	4733
166	947	4724
167	952	4718
168	958	4713
169	963	4706
170	969	4702
171	975	4695
172	981	4691
173	986	4682
174	991	4672
175	995	4662
176	1000	4654
177	1005	4643
178	1009	4632
179	1014	4620
180	1018	4609
181	1022	4596
182	1026	4584
183	1031	4575
184	1036	4567
185	1041	4557
186	1046	4548
187	1050	4539
188	1056	4531
189	1061	4523
190	1065	4513
191	1070	4503
192	1075	4496
193	1080	4488
194	1085	4479
195	1090	4471
196	1095	4463
197	1100	4456
198	1104	4447
199	1109	4438
200	1114	4431
201	1119	4424
202	1124	4416
203	1129	4407
204	1134	4399
205	1139	4391
206	1144	4383
207	1148	4373
208	1153	4366
209	1158	4358
210	1163	4352
211	1169	4345
212	1174	4337
213	1178	4329
214	1183	4322
215	1188	4313
216	1192	4302
217	1196	4292
218	1200	4281
219	1204	4271
220	1208	4261
221	1213	4253
222	1219	4249
223	1225	4243
224	1230	4239
225	1236	4234
226	1241	4229
227	1247	4224
228	1252	4216
229	1257	4208
230	1261	4200
231	1267	4194
232	1272	4188
233	1276	4179
234	1281	4173
235	1286	4164
236	1290	4156
237	1295	4147
238	1299	4138
239	1304	4130
240	1309	4122
241	1313	4112
242	1317	4103
243	1321	4095
244	1326	4087
245	1330	4077
246	1334	4067
247	1338	4058
248	1342	4050
249	1347	4042
250	1351	4033
251	1356	4025
252	1360	4016
253	1364	4006
254	1368	3998
255	1372	3989
256	1376	3980
257	1380	3971
258	1385	3964
